ZIP5,Fire_num_count,building_violations_count,not_permit_num,Population_Total,Population_18_more,Population_Male,Population_Female,Safty_Expect_Fee_per_1000,Safty_Importance_Rank,chicago_red_light_violations,sup_person_need,property_loss,speed_violations,school_num,buildings_num
60628,955,24485,31,64254,49772,29960,34294,116.70866141732284,5.472,244.0,4090.0,13466949.0,263469.0,25.0,8669
60609,802,21019,51,60939,45166,30157,30782,91.86575342465754,5.420329670329671,22162.0,2690.0,4193334.0,245336.0,27.0,6159
60620,755,23388,34,67711,52352,30429,37282,97.58659217877096,5.130681818181818,177970.0,2729.0,3672865.0,131788.0,23.0,8351
60644,688,17873,34,46591,34487,21919,24672,89.0657894736842,5.243243243243243,82466.0,2257.0,5024609.0,150091.0,16.0,4424
60621,679,18972,27,28018,20512,13120,14898,116.55128205128206,4.897435897435898,11040.0,2989.0,1642405.0,0.0,19.0,4850
60629,679,19303,51,110029,78374,53823,56206,99.69592476489028,5.585443037974684,73504.0,2042.0,2701807.0,221450.0,19.0,7828
60624,679,19355,38,34892,24703,16548,18344,106.99310344827586,5.027777777777778,54020.0,2474.0,5813023.0,214398.0,21.0,4454
60617,674,22388,44,83553,61390,37907,45646,99.38571428571429,5.566666666666666,18425.0,2686.0,4410593.0,263898.0,26.0,8289
60623,669,25664,50,81283,57880,40250,41033,80.28239202657808,5.7312925170068025,74749.0,2420.0,12360649.0,257610.0,40.0,6360
60651,665,18845,39,63492,46415,29276,34216,84.87041564792176,5.609876543209877,41370.0,2499.0,4576751.0,43916.0,16.0,5979
60632,619,13313,56,89857,63983,46001,43856,85.7218045112782,5.7293233082706765,62879.0,1554.0,3463839.0,111538.0,28.0,5984
60619,589,25903,34,61207,48470,27634,33573,93.89655172413794,5.063218390804598,140031.0,2324.0,3653659.0,52627.0,20.0,8129
60636,555,19004,14,30024,23331,13927,16097,99.578125,5.278688524590164,24750.0,2331.0,2293879.0,67557.0,15.0,5350
60639,539,14572,50,88204,65168,44061,44143,83.64012738853503,5.413461538461538,93869.0,1529.0,3225485.0,143898.0,16.0,5839
60608,532,14661,66,80059,65247,44460,35599,88.1130081300813,5.554197229013855,12313.0,1702.0,4667165.0,146961.0,28.0,6184
60618,531,13329,97,94907,74245,47736,47171,93.03487838458008,5.33195211786372,148924.0,1658.0,10641620.0,315119.0,21.0,9927
60612,504,10725,41,33735,25898,15954,17781,92.63990825688072,5.169373549883991,99064.0,1763.0,3434182.0,89533.0,28.0,4411
60637,449,19947,47,47300,36186,20671,26629,83.79587155963303,5.51508120649652,36249.0,2145.0,6795468.0,73567.0,15.0,4850
60643,422,7182,26,48887,38057,22012,26875,117.94612794612794,4.945762711864407,109617.0,1288.0,2644553.0,28547.0,22.0,5919
60647,405,15951,96,87633,71741,44405,43228,88.27597903176071,5.340037128712871,71423.0,1372.0,3521835.0,1073.0,15.0,8635
60616,383,8183,50,54197,46368,25809,28388,95.73648648648648,5.223728813559322,6174.0,1342.0,2298760.0,0.0,14.0,3285
60649,360,19948,29,46633,36234,20043,26590,89.22093023255815,5.576470588235294,31839.0,1458.0,1625276.0,57870.0,10.0,3619
60641,349,10280,67,69880,54460,34305,35575,95.26810477657936,5.128482972136223,67696.0,1017.0,2336366.0,75183.0,11.0,6172
60607,280,6207,111,29293,26152,14730,14563,100.91737288135592,4.938297872340425,67440.0,951.0,1677731.0,70085.0,6.0,2212
60634,267,7721,44,75082,58811,36318,38764,115.57522123893806,4.42089552238806,74777.0,700.0,1252905.0,130873.0,12.0,6700
60615,244,9281,40,40590,34371,18126,22464,83.3854961832061,5.557544757033248,0.0,674.0,686146.0,207190.0,13.0,2800
60653,239,7863,23,33154,23992,14342,18812,85.15021459227468,5.599137931034483,0.0,748.0,699876.0,0.0,16.0,2976
60625,227,11055,60,79444,63446,39266,40178,92.40123456790124,5.199100112485939,39121.0,878.0,3859767.0,74512.0,15.0,6268
60638,214,4130,38,58669,44124,29226,29443,147.5214521452145,3.9601328903654487,177028.0,604.0,1022946.0,0.0,9.0,5252
60622,213,11488,86,53294,45610,27928,25366,93.69581346051936,5.179255319148936,104976.0,713.0,1872524.0,82874.0,16.0,6166
60614,213,8493,151,71954,61839,36681,35273,100.53080872913992,4.963917525773196,64903.0,820.0,9149006.0,100421.0,7.0,6547
60652,197,4044,25,43447,32087,20441,23006,115.4812030075188,5.106060606060606,23364.0,555.0,726610.0,47114.0,11.0,3547
60657,184,8401,104,70958,62007,35652,35306,94.9958582604694,5.228426395939087,103588.0,1015.0,2125151.0,16551.0,6.0,5659
60630,174,5280,44,56433,45167,27448,28985,103.71428571428572,4.937360178970917,66203.0,475.0,723872.0,732879.0,4.0,5390
60640,155,7375,53,69363,60315,36073,33290,88.17590745911448,5.404314822213344,32312.0,589.0,1037402.0,4897.0,8.0,4283
60626,144,6818,18,50544,41595,24898,25646,88.58138062064597,5.335238095238095,20355.0,647.0,1015207.0,0.0,7.0,2650
60642,143,4618,55,19716,17877,10289,9427,95.77099236641222,5.13102119460501,24750.0,542.0,416406.0,32552.0,8.0,2255
60633,129,1159,5,12689,9908,6645,6044,167.5625,4.21875,0.0,392.0,303801.0,0.0,2.0,759
60659,113,5000,23,42735,31517,21491,21244,89.74761904761905,5.08133971291866,27750.0,338.0,534451.0,71831.0,6.0,2700
60610,112,4532,61,40548,36832,19019,21529,115.32072829131651,4.567185289957568,22947.0,579.0,1510611.0,1563.0,8.0,1692
60666,111,94,6,0,0,0,0,250.0,2.0,0.0,335.0,257651.0,0.0,0.0,15
60656,106,1740,10,28218,22977,14422,13796,144.9431279620853,3.688995215311005,13845.0,411.0,567351.0,0.0,4.0,2189
60613,102,5080,53,50761,44876,25653,25108,90.52347826086957,5.333527357392317,16952.0,429.0,383851.0,128302.0,7.0,3489
60645,101,5664,19,47270,34469,23745,23525,107.53314917127072,4.769444444444445,18597.0,369.0,10331100.0,59884.0,6.0,2915
60707,95,2048,13,43093,34111,20537,22556,101.3177570093458,4.9245283018867925,24806.0,269.0,424909.0,0.0,2.0,1712
60631,91,1849,21,29529,23665,14332,15197,141.8294117647059,3.8392857142857135,9471.0,414.0,700570.0,37494.0,7.0,3460
60611,90,4732,128,33224,31368,15508,17716,113.18568665377175,4.282651072124756,45758.0,595.0,955102.0,46519.0,0.0,939
60660,85,5339,45,44498,39137,22471,22027,87.0711493354183,5.386363636363637,51455.0,405.0,786200.0,45249.0,4.0,2241
60827,83,799,2,28483,20254,12466,16017,73.07142857142857,7.0,0.0,278.0,513503.0,0.0,6.0,453
60605,82,3115,43,29060,26649,13132,15928,100.70514603616134,4.963737796373779,0.0,349.0,431703.0,34700.0,2.0,848
